코드,구분,브랜드,인스타그램,이메일,원본구분(B열)
"IC-001","스킨케어","TREEANNSEA 트리앤씨","@treeannsea_official","global@treeannsea.co.kr","스킨케어"
"IC-002","스킨케어","(주)더제이알","@beverlyhillspoloclub_kr","thejrinc17@gmail.com","스킨케어"
"IC-003","스킨케어","(주)본플렉스","@bonplex_official","ellaplex@ellaplex.com","헤어"
"IC-004","스킨케어","㈜프롬비건","@chorokchorong.official","cdysr@fromvegan.co.kr","스킨케어"
"IC-005","스킨케어","벨플라워","@bellflower_kor","bellflower.cs@gmail.com","스킨케어"
"IC-006","스킨케어","주식회사 보타닉센스","@botanicsens","info@botanicsens.com","스킨케어"
"IC-007","스킨케어","누셀리크","@nuselique_official","soisintl.biz@gmail.com","더마"
"IC-008","스킨케어","CLAIRLISSE","","","더마"
"IC-009","스킨케어","DEWVERO","@dewvero_official","nscompany123@naver.com","스킨케어"
"IC-010","스킨케어","LANNUE","@lannue.official","lannue.cos@gmail.com","스킨케어"
"IC-011","스킨케어","celebon","@celebon_kr","dhoh@hlmc.co.kr","스킨케어/더마"
"IC-012","스킨케어","matthew chang perfumes","@matthewchangperfumes","contact@matthewchangperfumes.com","향수"
"IC-013","스킨케어","주식회사 랑벨","@lanbelle.official","shoo.noh@lanbelle.com","더마"
"IC-014","스킨케어","주식회사 바이잇","@luvum_official","export@luvum.co.kr","스킨케어"
"IC-015","스킨케어","안탈라","@antala_official","official@antala.one","더마"
"IC-016","뷰티(색조)","스튜디오17","@studio17_official","lrkim@thebkor.com","메이크업"
"IC-017","스킨케어","(주)더엘그룹","","marketing.theel@gmail.com","스킨케어"
"IC-018","스킨케어","(주)씨케이리제온","","dermaregeon@ckregeon.com","헤어"
"IC-019","스킨케어","CETERA","@cetera.official","ceterakorea@naver.com","더마"
"IC-020","스킨케어","(주)섬섬바이오","@searce_official","sumsum2022@naver.com","스킨케어"
"IC-021","스킨케어","(주)알에이치앤비브랜즈","@pretty_actually","info@rhnb.co.kr","스킨케어"
"IC-022","스킨케어","브에노메디텍","@bueno.official","ds2oph@naver.com","더마"
"IC-023","스킨케어","쥬네뷰","@dewdap.official","dewdap@naver.com","스킨케어"
"IC-024","뷰티(색조)","컬러딥","@colordeep_korea","min@miskos.co.kr","메이크업"
"IC-025","스킨케어","주식회사 반다비앤에이치","@kiwiglow.official","vandabnh@vanda.co.kr","스킨케어"
"IC-026","스킨케어","주식회사 정림에프앤에이치","@vanava_cosmetics","4674sjh@naver.com","바디"
"IC-027","뷰티(색조)","주식회사 웰컴이엔앰","","dandymicn@welcomems.co.kr","메이크업"
"IC-028","스킨케어","닥터바이오 & 티블레스","@dr.bio_official","global_sales@rokcorp.co.kr","스킨케어"
"IC-029","뷰티(색조)","Y.N.M","@ynmbeauty_official","ynm@ynmcosmetic.co.kr","메이크업"
"IC-030","스킨케어","헤트라스","@hetras.official","globalsales@hetras.co.kr","향수"
"IC-031","스킨케어","세이션","","overseas@xation.co.kr","스킨케어"
"IC-032","스킨케어","(주)비앤케이","@tambeautyme","contact@koreahnb.com","스킨케어"
"IC-033","스킨케어","줄라이 모닝","@wearejulymorning","clubparty1003@gmail.com","바디/헤어"
"IC-034","스킨케어","센티카","@scentica_official","scentica@raint.kr","향수"
"IC-035","스킨케어","EBIN KOREA","@ebinkorea","ebinkorea@ebinnewyork.com","스킨케어/바디"
"IC-036","스킨케어","(주)탠코리아","@jamie_bronze","jamiebronzekr@gmail.com","바디"
"IC-037","뷰티(색조)","디어메이","@dearmay.official","oversea@beleco.co.kr","메이크업"
"IC-038","스킨케어","(주)바이옵트","@venderma_official","info@venderma.com","더마"
"IC-039","스킨케어","TROIAREUKE","@troiareuke_global","stella@sislab.com","더마"
"IC-040","스킨케어","오미티드","@omittedofficial","admin@omitted.kr","스킨케어"
"IC-041","스킨케어","DAILY WEEKLY","@dailyweekly.official","trading@dailyweekly.co.kr","스킨케어"
"IC-042","뷰티(색조)","(주)아트페이스","@tenzero_official","artface@artfacekorea.com","메이크업/스킨케어"
